quarter,personal_characteristics,position_begin,position_end,number_of_persons
2007-3,Job level: higher,TOTAL,non labourforce,14
2007-3,Job level: higher,employed,TOTAL,1555
2007-3,Job level: higher,employed,employed,1537
2007-3,Job level: higher,employed,unemployed,4
2007-3,Job level: higher,employed,non labourforce,14
2007-3,Job level: higher,unemployed,TOTAL,11
2007-3,Job level: higher,unemployed,employed,11
2007-3,Job level: higher,unemployed,unemployed,
2007-3,Job level: higher,unemployed,non labourforce,
2007-3,Job level: higher,non labourforce,TOTAL,15
2007-3,Job level: higher,non labourforce,employed,15
2007-3,Job level: higher,non labourforce,unemployed,
2007-3,Job level: higher,non labourforce,non labourforce,
2007-3,Job level: scientific,TOTAL,TOTAL,636
2007-3,Job level: scientific,TOTAL,employed,624
2007-3,Job level: scientific,TOTAL,unemployed,3
2007-3,Job level: scientific,TOTAL,non labourforce,9
2007-3,Job level: scientific,employed,TOTAL,627
2007-3,Job level: scientific,employed,employed,615
2007-3,Job level: scientific,employed,unemployed,3
2007-3,Job level: scientific,employed,non labourforce,9
2007-3,Job level: scientific,unemployed,TOTAL,4
2007-3,Job level: scientific,unemployed,employed,4
2007-3,Job level: scientific,unemployed,unemployed,
2007-3,Job level: scientific,unemployed,non labourforce,
2007-3,Job level: scientific,non labourforce,TOTAL,5
2007-3,Job level: scientific,non labourforce,employed,5
2007-3,Job level: scientific,non labourforce,unemployed,
2007-3,Job level: scientific,non labourforce,non labourforce,
2007-4,TOTAL,TOTAL,TOTAL,10976
2007-4,TOTAL,TOTAL,employed,7396
2007-4,TOTAL,TOTAL,unemployed,329
2007-4,TOTAL,TOTAL,non labourforce,3251
2007-4,TOTAL,employed,TOTAL,7370
2007-4,TOTAL,employed,employed,7178
2007-4,TOTAL,employed,unemployed,59
2007-4,TOTAL,employed,non labourforce,133
2007-4,TOTAL,unemployed,TOTAL,303
2007-4,TOTAL,unemployed,employed,67
2007-4,TOTAL,unemployed,unemployed,145
2007-4,TOTAL,unemployed,non labourforce,91
2007-4,TOTAL,non labourforce,TOTAL,3304
2007-4,TOTAL,non labourforce,employed,151
2007-4,TOTAL,non labourforce,unemployed,125
2007-4,TOTAL,non labourforce,non labourforce,3028
2007-4,Gender: male,TOTAL,TOTAL,5524
2007-4,Gender: male,TOTAL,employed,4218
2007-4,Gender: male,TOTAL,unemployed,147
2007-4,Gender: male,TOTAL,non labourforce,1159
2007-4,Gender: male,employed,TOTAL,4202
2007-4,Gender: male,employed,employed,4117
2007-4,Gender: male,employed,unemployed,31
2007-4,Gender: male,employed,non labourforce,54
2007-4,Gender: male,unemployed,TOTAL,140
2007-4,Gender: male,unemployed,employed,32
2007-4,Gender: male,unemployed,unemployed,71
2007-4,Gender: male,unemployed,non labourforce,37
2007-4,Gender: male,non labourforce,TOTAL,1182
2007-4,Gender: male,non labourforce,employed,69
2007-4,Gender: male,non labourforce,unemployed,45
2007-4,Gender: male,non labourforce,non labourforce,1068
2007-4,Gender: female,TOTAL,TOTAL,5452
2007-4,Gender: female,TOTAL,employed,3178
2007-4,Gender: female,TOTAL,unemployed,182
2007-4,Gender: female,TOTAL,non labourforce,2092
2007-4,Gender: female,employed,TOTAL,3167
2007-4,Gender: female,employed,employed,3060
2007-4,Gender: female,employed,unemployed,29
2007-4,Gender: female,employed,non labourforce,79
2007-4,Gender: female,unemployed,TOTAL,163
2007-4,Gender: female,unemployed,employed,35
2007-4,Gender: female,unemployed,unemployed,74
2007-4,Gender: female,unemployed,non labourforce,54
2007-4,Gender: female,non labourforce,TOTAL,2121
2007-4,Gender: female,non labourforce,employed,83
2007-4,Gender: female,non labourforce,unemployed,80
2007-4,Gender: female,non labourforce,non labourforce,1959
2007-4,Age: 15-25 years,TOTAL,TOTAL,1962
2007-4,Age: 15-25 years,TOTAL,employed,812
2007-4,Age: 15-25 years,TOTAL,unemployed,71
2007-4,Age: 15-25 years,TOTAL,non labourforce,1079
2007-4,Age: 15-25 years,employed,TOTAL,784
2007-4,Age: 15-25 years,employed,employed,713
2007-4,Age: 15-25 years,employed,unemployed,14
2007-4,Age: 15-25 years,employed,non labourforce,57
2007-4,Age: 15-25 years,unemployed,TOTAL,56
2007-4,Age: 15-25 years,unemployed,employed,18
2007-4,Age: 15-25 years,unemployed,unemployed,17
2007-4,Age: 15-25 years,unemployed,non labourforce,21
2007-4,Age: 15-25 years,non labourforce,TOTAL,1122
2007-4,Age: 15-25 years,non labourforce,employed,80
2007-4,Age: 15-25 years,non labourforce,unemployed,41
2007-4,Age: 15-25 years,non labourforce,non labourforce,1001
2007-4,Age: 25-45 years,TOTAL,TOTAL,4597
2007-4,Age: 25-45 years,TOTAL,employed,3845
2007-4,Age: 25-45 years,TOTAL,unemployed,135
2007-4,Age: 25-45 years,TOTAL,non labourforce,617
2007-4,Age: 25-45 years,employed,TOTAL,3834
2007-4,Age: 25-45 years,employed,employed,3770
2007-4,Age: 25-45 years,employed,unemployed,30
2007-4,Age: 25-45 years,employed,non labourforce,34
2007-4,Age: 25-45 years,unemployed,TOTAL,121
2007-4,Age: 25-45 years,unemployed,employed,31
2007-4,Age: 25-45 years,unemployed,unemployed,57
2007-4,Age: 25-45 years,unemployed,non labourforce,33
2007-4,Age: 25-45 years,non labourforce,TOTAL,641
2007-4,Age: 25-45 years,non labourforce,employed,43
2007-4,Age: 25-45 years,non labourforce,unemployed,48
2007-4,Age: 25-45 years,non labourforce,non labourforce,549
2007-4,Age: 45-65 years,TOTAL,TOTAL,4418
2007-4,Age: 45-65 years,TOTAL,employed,2740
2007-4,Age: 45-65 years,TOTAL,unemployed,122
2007-4,Age: 45-65 years,TOTAL,non labourforce,1556
2007-4,Age: 45-65 years,employed,TOTAL,2752
2007-4,Age: 45-65 years,employed,employed,2694
2007-4,Age: 45-65 years,employed,unemployed,16
2007-4,Age: 45-65 years,employed,non labourforce,42
2007-4,Age: 45-65 years,unemployed,TOTAL,126
2007-4,Age: 45-65 years,unemployed,employed,18
2007-4,Age: 45-65 years,unemployed,unemployed,71
2007-4,Age: 45-65 years,unemployed,non labourforce,37
2007-4,Age: 45-65 years,non labourforce,TOTAL,1540
2007-4,Age: 45-65 years,non labourforce,employed,28
2007-4,Age: 45-65 years,non labourforce,unemployed,35
2007-4,Age: 45-65 years,non labourforce,non labourforce,1477
2007-4,Education level: lower,TOTAL,TOTAL,3418
2007-4,Education level: lower,TOTAL,employed,1664
2007-4,Education level: lower,TOTAL,unemployed,116
2007-4,Education level: lower,TOTAL,non labourforce,1638
2007-4,Education level: lower,employed,TOTAL,1646
2007-4,Education level: lower,employed,employed,1580
2007-4,Education level: lower,employed,unemployed,18
2007-4,Education level: lower,employed,non labourforce,48
2007-4,Education level: lower,unemployed,TOTAL,104
2007-4,Education level: lower,unemployed,employed,21
2007-4,Education level: lower,unemployed,unemployed,48
2007-4,Education level: lower,unemployed,non labourforce,35
2007-4,Education level: lower,non labourforce,TOTAL,1668
2007-4,Education level: lower,non labourforce,employed,63
2007-4,Education level: lower,non labourforce,unemployed,50
2007-4,Education level: lower,non labourforce,non labourforce,1555
2007-4,Education level: middle,TOTAL,TOTAL,4598
2007-4,Education level: middle,TOTAL,employed,3277
2007-4,Education level: middle,TOTAL,unemployed,140
2007-4,Education level: middle,TOTAL,non labourforce,1180
2007-4,Education level: middle,employed,TOTAL,3271
2007-4,Education level: middle,employed,employed,3188
2007-4,Education level: middle,employed,unemployed,24
2007-4,Education level: middle,employed,non labourforce,59
2007-4,Education level: middle,unemployed,TOTAL,127
2007-4,Education level: middle,unemployed,employed,25
2007-4,Education level: middle,unemployed,unemployed,64
2007-4,Education level: middle,unemployed,non labourforce,38
2007-4,Education level: middle,non labourforce,TOTAL,1200
2007-4,Education level: middle,non labourforce,employed,64
2007-4,Education level: middle,non labourforce,unemployed,53
2007-4,Education level: middle,non labourforce,non labourforce,1083
2007-4,Education level: higher,TOTAL,TOTAL,2857
2007-4,Education level: higher,TOTAL,employed,2383
2007-4,Education level: higher,TOTAL,unemployed,66
2007-4,Education level: higher,TOTAL,non labourforce,408
2007-4,Education level: higher,employed,TOTAL,2381
2007-4,Education level: higher,employed,employed,2340
2007-4,Education level: higher,employed,unemployed,17
2007-4,Education level: higher,employed,non labourforce,25
2007-4,Education level: higher,unemployed,TOTAL,67
2007-4,Education level: higher,unemployed,employed,20
2007-4,Education level: higher,unemployed,unemployed,31
2007-4,Education level: higher,unemployed,non labourforce,16
2007-4,Education level: higher,non labourforce,TOTAL,409
2007-4,Education level: higher,non labourforce,employed,23
2007-4,Education level: higher,non labourforce,unemployed,19
2007-4,Education level: higher,non labourforce,non labourforce,368
2007-4,Education level: unknown,TOTAL,TOTAL,103
2007-4,Education level: unknown,TOTAL,employed,72
2007-4,Education level: unknown,TOTAL,unemployed,6
2007-4,Education level: unknown,TOTAL,non labourforce,25
2007-4,Education level: unknown,employed,TOTAL,71
2007-4,Education level: unknown,employed,employed,69
2007-4,Education level: unknown,employed,unemployed,
2007-4,Education level: unknown,employed,non labourforce,
2007-4,Education level: unknown,unemployed,TOTAL,5
2007-4,Education level: unknown,unemployed,employed,
2007-4,Education level: unknown,unemployed,unemployed,3
2007-4,Education level: unknown,unemployed,non labourforce,
2007-4,Education level: unknown,non labourforce,TOTAL,26
2007-4,Education level: unknown,non labourforce,employed,2
2007-4,Education level: unknown,non labourforce,unemployed,3
2007-4,Education level: unknown,non labourforce,non labourforce,22
2007-4,Job level: elementary,TOTAL,TOTAL,574
2007-4,Job level: elementary,TOTAL,employed,543
2007-4,Job level: elementary,TOTAL,unemployed,8
2007-4,Job level: elementary,TOTAL,non labourforce,23
2007-4,Job level: elementary,employed,TOTAL,534
2007-4,Job level: elementary,employed,employed,503
2007-4,Job level: elementary,employed,unemployed,8
2007-4,Job level: elementary,employed,non labourforce,23
2007-4,Job level: elementary,unemployed,TOTAL,9
2007-4,Job level: elementary,unemployed,employed,9
2007-4,Job level: elementary,unemployed,unemployed,
2007-4,Job level: elementary,unemployed,non labourforce,
2007-4,Job level: elementary,non labourforce,TOTAL,31
2007-4,Job level: elementary,non labourforce,employed,31
2007-4,Job level: elementary,non labourforce,unemployed,
2007-4,Job level: elementary,non labourforce,non labourforce,
2007-4,Job level: lower,TOTAL,TOTAL,1805
2007-4,Job level: lower,TOTAL,employed,1727
2007-4,Job level: lower,TOTAL,unemployed,23
2007-4,Job level: lower,TOTAL,non labourforce,56
2007-4,Job level: lower,employed,TOTAL,1718
2007-4,Job level: lower,employed,employed,1640
2007-4,Job level: lower,employed,unemployed,23
2007-4,Job level: lower,employed,non labourforce,56
2007-4,Job level: lower,unemployed,TOTAL,25
2007-4,Job level: lower,unemployed,employed,25
2007-4,Job level: lower,unemployed,unemployed,
2007-4,Job level: lower,unemployed,non labourforce,
2007-4,Job level: lower,non labourforce,TOTAL,62
2007-4,Job level: lower,non labourforce,employed,62
2007-4,Job level: lower,non labourforce,unemployed,
2007-4,Job level: lower,non labourforce,non labourforce,
2007-4,Job level: middle,TOTAL,TOTAL,2861
2007-4,Job level: middle,TOTAL,employed,2809
2007-4,Job level: middle,TOTAL,unemployed,17
2007-4,Job level: middle,TOTAL,non labourforce,35
2007-4,Job level: middle,employed,TOTAL,2809
2007-4,Job level: middle,employed,employed,2757
2007-4,Job level: middle,employed,unemployed,17
2007-4,Job level: middle,employed,non labourforce,35
2007-4,Job level: middle,unemployed,TOTAL,19
2007-4,Job level: middle,unemployed,employed,19
2007-4,Job level: middle,unemployed,unemployed,
2007-4,Job level: middle,unemployed,non labourforce,
2007-4,Job level: middle,non labourforce,TOTAL,33
2007-4,Job level: middle,non labourforce,employed,33
2007-4,Job level: middle,non labourforce,unemployed,
2007-4,Job level: middle,non labourforce,non labourforce,
2007-4,Job level: higher,TOTAL,TOTAL,1608
2007-4,Job level: higher,TOTAL,employed,1588
2007-4,Job level: higher,TOTAL,unemployed,7
2007-4,Job level: higher,TOTAL,non labourforce,13
2007-4,Job level: higher,employed,TOTAL,1580
2007-4,Job level: higher,employed,employed,1561
2007-4,Job level: higher,employed,unemployed,7
2007-4,Job level: higher,employed,non labourforce,13
2007-4,Job level: higher,unemployed,TOTAL,11
2007-4,Job level: higher,unemployed,employed,11
2007-4,Job level: higher,unemployed,unemployed,
2007-4,Job level: higher,unemployed,non labourforce,
2007-4,Job level: higher,non labourforce,TOTAL,17
2007-4,Job level: higher,non labourforce,employed,17
2007-4,Job level: higher,non labourforce,unemployed,
2007-4,Job level: higher,non labourforce,non labourforce,
2007-4,Job level: scientific,TOTAL,TOTAL,654
2007-4,Job level: scientific,TOTAL,employed,645
2007-4,Job level: scientific,TOTAL,unemployed,4
2007-4,Job level: scientific,TOTAL,non labourforce,5
2007-4,Job level: scientific,employed,TOTAL,646
2007-4,Job level: scientific,employed,employed,637
2007-4,Job level: scientific,employed,unemployed,4
2007-4,Job level: scientific,employed,non labourforce,5
2007-4,Job level: scientific,unemployed,TOTAL,2
2007-4,Job level: scientific,unemployed,employed,2
2007-4,Job level: scientific,unemployed,unemployed,
2007-4,Job level: scientific,unemployed,non labourforce,
2007-4,Job level: scientific,non labourforce,TOTAL,6
2007-4,Job level: scientific,non labourforce,employed,6
2007-4,Job level: scientific,non labourforce,unemployed,
2007-4,Job level: scientific,non labourforce,non labourforce,
2008-1,TOTAL,TOTAL,TOTAL,10984
2008-1,TOTAL,TOTAL,employed,7495
2008-1,TOTAL,TOTAL,unemployed,304
2008-1,TOTAL,TOTAL,non labourforce,3185
2008-1,TOTAL,employed,TOTAL,7396
2008-1,TOTAL,employed,employed,7231
2008-1,TOTAL,employed,unemployed,45
2008-1,TOTAL,employed,non labourforce,120
2008-1,TOTAL,unemployed,TOTAL,329
2008-1,TOTAL,unemployed,employed,91
2008-1,TOTAL,unemployed,unemployed,140
2008-1,TOTAL,unemployed,non labourforce,98
2008-1,TOTAL,non labourforce,TOTAL,3258
2008-1,TOTAL,non labourforce,employed,172
2008-1,TOTAL,non labourforce,unemployed,119
2008-1,TOTAL,non labourforce,non labourforce,2967
2008-1,Gender: male,TOTAL,TOTAL,5527
2008-1,Gender: male,TOTAL,employed,4276
2008-1,Gender: male,TOTAL,unemployed,141
2008-1,Gender: male,TOTAL,non labourforce,1110
2008-1,Gender: male,employed,TOTAL,4224
2008-1,Gender: male,employed,employed,4150
2008-1,Gender: male,employed,unemployed,24
2008-1,Gender: male,employed,non labourforce,50
2008-1,Gender: male,unemployed,TOTAL,152
2008-1,Gender: male,unemployed,employed,48
2008-1,Gender: male,unemployed,unemployed,68
2008-1,Gender: male,unemployed,non labourforce,35
2008-1,Gender: male,non labourforce,TOTAL,1151
2008-1,Gender: male,non labourforce,employed,78
2008-1,Gender: male,non labourforce,unemployed,49
2008-1,Gender: male,non labourforce,non labourforce,1024
2008-1,Gender: female,TOTAL,TOTAL,5457
2008-1,Gender: female,TOTAL,employed,3219
2008-1,Gender: female,TOTAL,unemployed,163
2008-1,Gender: female,TOTAL,non labourforce,2075
2008-1,Gender: female,employed,TOTAL,3172
2008-1,Gender: female,employed,employed,3081
2008-1,Gender: female,employed,unemployed,21
2008-1,Gender: female,employed,non labourforce,70
2008-1,Gender: female,unemployed,TOTAL,177
2008-1,Gender: female,unemployed,employed,43
2008-1,Gender: female,unemployed,unemployed,71
2008-1,Gender: female,unemployed,non labourforce,63
2008-1,Gender: female,non labourforce,TOTAL,2107
2008-1,Gender: female,non labourforce,employed,95
2008-1,Gender: female,non labourforce,unemployed,70
2008-1,Gender: female,non labourforce,non labourforce,1942
2008-1,Age: 15-25 years,TOTAL,TOTAL,1969
2008-1,Age: 15-25 years,TOTAL,employed,861
2008-1,Age: 15-25 years,TOTAL,unemployed,79
2008-1,Age: 15-25 years,TOTAL,non labourforce,1030
2008-1,Age: 15-25 years,employed,TOTAL,786
2008-1,Age: 15-25 years,employed,employed,726
2008-1,Age: 15-25 years,employed,unemployed,12
2008-1,Age: 15-25 years,employed,non labourforce,49
2008-1,Age: 15-25 years,unemployed,TOTAL,67
2008-1,Age: 15-25 years,unemployed,employed,26
2008-1,Age: 15-25 years,unemployed,unemployed,20
2008-1,Age: 15-25 years,unemployed,non labourforce,22
2008-1,Age: 15-25 years,non labourforce,TOTAL,1116
2008-1,Age: 15-25 years,non labourforce,employed,109
2008-1,Age: 15-25 years,non labourforce,unemployed,47
2008-1,Age: 15-25 years,non labourforce,non labourforce,959
2008-1,Age: 25-45 years,TOTAL,TOTAL,4557
2008-1,Age: 25-45 years,TOTAL,employed,3849
2008-1,Age: 25-45 years,TOTAL,unemployed,117
2008-1,Age: 25-45 years,TOTAL,non labourforce,590
2008-1,Age: 25-45 years,employed,TOTAL,3824
2008-1,Age: 25-45 years,employed,employed,3768
